rd,prime,buffer_from,buffer_to,load
1,0,0,1,1
1,0,1,2,2
1,0,2,3,0
1,0,3,4,0
1,0,4,5,1
1,0,5,6,0
1,0,6,7,2
1,0,7,8,0
1,0,8,9,0
1,1,0,1,1
1,1,1,2,1
1,1,2,3,1
1,1,3,4,0
1,1,4,5,0
1,1,5,6,1
1,1,6,7,1
1,1,7,8,1
1,1,8,9,0
2,0,0,1,1
2,0,1,2,1
2,0,2,3,1
2,0,3,4,0
2,0,4,5,0
2,0,5,6,1
2,0,6,7,1
2,0,7,8,1
2,0,8,9,0
2,1,0,1,0
2,1,1,2,1
2,1,2,3,1
2,1,3,4,1
2,1,4,5,0
2,1,5,6,0
2,1,6,7,1
2,1,7,8,1
2,1,8,9,1
3,0,0,1,0
3,0,1,2,1
3,0,2,3,1
3,0,3,4,1
3,0,4,5,0
3,0,5,6,0
3,0,6,7,1
3,0,7,8,1
3,0,8,9,1
3,1,0,1,0
3,1,1,2,0
3,1,2,3,1
3,1,3,4,1
3,1,4,5,1
3,1,5,6,0
3,1,6,7,0
3,1,7,8,1
3,1,8,9,1
4,0,0,1,2
4,0,1,2,0
4,0,2,3,1
4,0,3,4,1
4,0,4,5,1
4,0,5,6,0
4,0,6,7,1
4,0,7,8,1
4,0,8,9,1
4,1,0,1,1
4,1,1,2,1
4,1,2,3,0
4,1,3,4,1
4,1,4,5,1
4,1,5,6,1
4,1,6,7,0
4,1,7,8,1
4,1,8,9,1
5,0,0,1,1
5,0,1,2,2
5,0,2,3,1
5,0,3,4,1
5,0,4,5,1
5,0,5,6,3
5,0,6,7,1
5,0,7,8,1
5,0,8,9,1
5,1,0,1,1
5,1,1,2,1
5,1,2,3,1
5,1,3,4,1
5,1,4,5,2
5,1,5,6,2
5,1,6,7,1
5,1,7,8,1
5,1,8,9,1
6,0,0,1,1
6,0,1,2,1
6,0,2,3,1
6,0,3,4,1
6,0,4,5,2
6,0,5,6,2
6,0,6,7,1
6,0,7,8,1
6,0,8,9,1
6,1,0,1,0
6,1,1,2,1
6,1,2,3,1
6,1,3,4,2
6,1,4,5,2
6,1,5,6,1
6,1,6,7,1
6,1,7,8,1
6,1,8,9,1
7,0,0,1,1
7,0,1,2,2
7,0,2,3,1
7,0,3,4,2
7,0,4,5,2
7,0,5,6,1
7,0,6,7,1
7,0,7,8,1
7,0,8,9,1
7,1,0,1,1
7,1,1,2,1
7,1,2,3,2
7,1,3,4,2
7,1,4,5,1
7,1,5,6,1
7,1,6,7,1
7,1,7,8,1
7,1,8,9,1
8,0,0,1,1
8,0,1,2,1
8,0,2,3,2
8,0,3,4,2
8,0,4,5,1
8,0,5,6,1
8,0,6,7,1
8,0,7,8,1
8,0,8,9,1
8,1,0,1,0
8,1,1,2,2
8,1,2,3,2
8,1,3,4,1
8,1,4,5,1
8,1,5,6,1
8,1,6,7,1
8,1,7,8,1
8,1,8,9,1
9,0,0,1,0
9,0,1,2,2
9,0,2,3,2
9,0,3,4,2
9,0,4,5,1
9,0,5,6,1
9,0,6,7,1
9,0,7,8,2
9,0,8,9,1
9,1,0,1,0
9,1,1,2,2
9,1,2,3,2
9,1,3,4,1
9,1,4,5,1
9,1,5,6,1
9,1,6,7,2
9,1,7,8,1
9,1,8,9,1
10,0,0,1,0
10,0,1,2,2
10,0,2,3,2
10,0,3,4,1
10,0,4,5,1
10,0,5,6,1
10,0,6,7,2
10,0,7,8,1
10,0,8,9,1
10,1,0,1,0
10,1,1,2,2
10,1,2,3,1
10,1,3,4,1
10,1,4,5,1
10,1,5,6,2
10,1,6,7,1
10,1,7,8,1
10,1,8,9,1
11,0,0,1,0
11,0,1,2,2
11,0,2,3,1
11,0,3,4,1
11,0,4,5,1
11,0,5,6,2
11,0,6,7,1
11,0,7,8,1
