rd,prime,buffer_from,buffer_to,packet_id,injection_rd
1,0,8,9,-1,-1
1,0,7,8,-1,-1
1,0,6,7,2,1
1,0,5,6,5,1
1,0,4,5,1,1
1,0,3,4,-1,-1
1,0,2,3,-1,-1
1,0,1,2,3,1
1,0,0,1,4,1
1,0,0,-1,0,1
1,1,8,9,-1,-1
1,1,7,8,5,1
1,1,6,7,2,1
1,1,5,6,1,1
1,1,4,5,-1,-1
1,1,3,4,-1,-1
1,1,2,3,4,1
1,1,1,2,3,1
1,1,0,1,0,1
2,0,8,9,-1,-1
2,0,7,8,5,1
2,0,6,7,2,1
2,0,5,6,1,1
2,0,4,5,-1,-1
2,0,3,4,-1,-1
2,0,2,3,4,1
2,0,1,2,3,1
2,0,0,1,0,1
2,1,8,9,5,1
2,1,7,8,2,1
2,1,6,7,1,1
2,1,5,6,-1,-1
2,1,4,5,-1,-1
2,1,3,4,4,1
2,1,2,3,3,1
2,1,1,2,0,1
2,1,0,1,-1,-1
3,0,8,9,5,1
3,0,7,8,2,1
3,0,6,7,1,1
3,0,5,6,-1,-1
3,0,4,5,-1,-1
3,0,3,4,4,1
3,0,2,3,3,1
3,0,1,2,0,1
3,0,0,1,-1,-1
3,1,8,9,2,1
3,1,7,8,1,1
3,1,6,7,-1,-1
3,1,5,6,-1,-1
3,1,4,5,4,1
3,1,3,4,3,1
3,1,2,3,0,1
3,1,1,2,-1,-1
3,1,0,1,-1,-1
4,0,8,9,2,1
4,0,7,8,1,1
4,0,6,7,7,4
4,0,5,6,-1,-1
4,0,4,5,4,1
4,0,3,4,3,1
4,0,2,3,0,1
4,0,1,2,-1,-1
4,0,0,1,6,4
4,0,0,-1,8,4
4,1,8,9,1,1
4,1,7,8,7,4
4,1,6,7,-1,-1
4,1,5,6,4,1
4,1,4,5,3,1
4,1,3,4,0,1
4,1,2,3,-1,-1
4,1,1,2,8,4
4,1,0,1,6,4
5,0,8,9,1,1
5,0,7,8,7,4
5,0,6,7,11,5
5,0,5,6,4,1
5,0,4,5,3,1
5,0,3,4,0,1
5,0,2,3,10,5
5,0,1,2,8,4
5,0,0,1,6,4
5,0,0,-1,13,5
5,0,-1,-2,12,5
5,0,-2,-3,9,5
5,1,8,9,7,4
5,1,7,8,11,5
5,1,6,7,4,1
5,1,5,6,3,1
5,1,4,5,0,1
5,1,3,4,10,5
5,1,2,3,8,4
5,1,1,2,6,4
5,1,0,1,13,5
5,1,0,-1,12,5
5,1,-1,-2,9,5
6,0,8,9,7,4
6,0,7,8,11,5
6,0,6,7,4,1
6,0,5,6,3,1
6,0,4,5,0,1
6,0,3,4,10,5
6,0,2,3,8,4
6,0,1,2,6,4
6,0,0,1,13,5
6,0,0,-1,12,5
6,0,-1,-2,9,5
6,1,8,9,11,5
6,1,7,8,4,1
6,1,6,7,3,1
6,1,5,6,0,1
6,1,4,5,13,5
6,1,3,4,8,4
6,1,2,3,6,4
6,1,1,2,10,5
6,1,0,1,12,5
6,1,0,-1,9,5
7,0,8,9,11,5
7,0,7,8,4,1
7,0,6,7,3,1
7,0,5,6,0,1
7,0,4,5,13,5
7,0,3,4,8,4
7,0,2,3,6,4
7,0,1,2,10,5
7,0,0,1,12,5
7,0,0,-1,9,5
7,0,-1,-2,15,7
7,0,-2,-3,14,7
7,1,8,9,4,1
7,1,7,8,3,1
7,1,6,7,0,1
7,1,5,6,10,5
7,1,4,5,8,4
7,1,3,4,6,4
7,1,2,3,13,5
7,1,1,2,9,5
7,1,0,1,12,5
7,1,0,-1,15,7
7,1,-1,-2,14,7
8,0,8,9,4,1
8,0,7,8,3,1
8,0,6,7,0,1
8,0,5,6,10,5
8,0,4,5,8,4
8,0,3,4,6,4
8,0,2,3,13,5
8,0,1,2,9,5
8,0,0,1,12,5
8,0,0,-1,15,7
8,0,-1,-2,14,7
8,1,8,9,3,1
8,1,7,8,0,1
8,1,6,7,10,5
8,1,5,6,8,4
8,1,4,5,6,4
8,1,3,4,13,5
8,1,2,3,9,5
8,1,1,2,12,5
8,1,0,1,15,7
8,1,0,-1,14,7
9,0,8,9,3,1
9,0,7,8,0,1
9,0,6,7,10,5
9,0,5,6,8,4
9,0,4,5,6,4
9,0,3,4,13,5
9,0,2,3,9,5
9,0,1,2,12,5
9,0,0,1,15,7
9,0,0,-1,14,7
9,0,-1,-2,17,9
9,0,-2,-3,16,9
9,1,8,9,0,1
9,1,7,8,10,5
9,1,6,7,8,4
9,1,5,6,6,4
9,1,4,5,13,5
9,1,3,4,12,5
9,1,2,3,9,5
9,1,1,2,15,7
9,1,0,1,14,7
9,1,0,-1,17,9
9,1,-1,-2,16,9
10,0,8,9,0,1
10,0,7,8,10,5
10,0,6,7,8,4
10,0,5,6,6,4
10,0,4,5,13,5
10,0,3,4,12,5
10,0,2,3,9,5
10,0,1,2,15,7
10,0,0,1,14,7
10,0,0,-1,17,9
10,0,-1,-2,16,9
10,1,8,9,10,5
10,1,7,8,8,4
10,1,6,7,6,4
10,1,5,6,13,5
10,1,4,5,12,5
10,1,3,4,9,5
10,1,2,3,14,7
10,1,1,2,15,7
10,1,0,1,17,9
10,1,0,-1,16,9
11,0,8,9,10,5
11,0,7,8,8,4
11,0,6,7,6,4
11,0,5,6,13,5
11,0,4,5,12,5
11,0,3,4,9,5
11,0,2,3,14,7
11,0,1,2,15,7
11,0,0,1,17,9
11,0,0,-1,16,9
11,1,8,9,8,4
11,1,7,8,6,4
11,1,6,7,13,5
11,1,5,6,12,5
11,1,4,5,9,5
11,1,3,4,14,7
11,1,2,3,15,7
11,1,1,2,17,9
11,1,0,1,16,9
12,0,8,9,8,4
12,0,7,8,6,4
12,0,6,7,13,5
12,0,5,6,12,5
